City_name,lat,long,max_temp,humidity,cloud,wind_speed,country
torbay,47.67,-52.73,11.11,100,90,3.1,CA
qaqortoq,60.72,-46.03,11.0,43,100,2.1,GL
salinas,36.68,-121.66,20.56,63,90,8.2,US
geraldton,-28.77,114.6,12.0,62,0,5.1,AU
lanzhou,36.06,103.79,22.78,43,100,1.26,CN
kaifeng,34.79,114.35,24.0,88,19,2.0,CN
tutoia,-2.76,-42.27,25.26,88,74,3.68,BR
alnashi,56.19,52.48,13.66,91,65,2.87,RU
east london,-33.02,27.91,17.37,65,2,7.98,ZA
inta,66.03,60.17,14.08,70,97,3.62,RU
louth,53.37,0.0,13.0,93,64,1.5,GB
northam,51.03,-4.22,13.89,91,77,4.02,GB
ulladulla,-35.35,150.47,13.0,50,20,10.3,AU
nikolskoye,59.7,30.79,16.0,82,40,2.0,RU
seymchan,62.88,152.43,12.88,56,100,1.0,RU
clinton,42.59,-82.92,32.78,54,20,2.6,US
axim,4.87,-2.24,24.76,87,63,4.45,GH
zhigansk,66.77,123.37,13.85,69,92,7.29,RU
daru,-9.08,143.21,25.84,78,99,8.46,PG
riyadh,24.69,46.72,32.0,29,0,3.1,SA
kemi,65.86,24.82,9.0,93,49,2.1,FI
port hardy,50.7,-127.42,17.0,55,75,6.7,CA
forbes,-33.38,148.02,12.22,64,0,0.45,AU
bauchi,10.5,10.0,26.32,66,27,3.96,NG
hailey,43.52,-114.32,23.0,24,5,3.6,US
laguna,38.42,-121.42,30.0,21,1,7.2,US
margate,51.38,1.39,16.67,84,5,3.76,GB
faya,18.39,42.45,20.0,63,86,0.96,SA
saint anthony,45.02,-93.22,32.22,40,1,2.1,US
belaya gora,68.53,146.42,6.27,87,100,6.6,RU
faanui,-16.48,-151.75,26.88,80,0,9.25,PF
hala,25.81,68.42,28.0,74,24,2.1,PK
edd,13.93,41.69,33.3,39,98,3.82,ER
krasnyy yar,46.53,48.35,18.0,77,0,2.0,RU
mount gambier,-37.83,140.77,9.0,93,90,7.7,AU
kapit,2.02,112.93,24.0,91,97,1.21,MY
uusikaupunki,60.8,21.41,15.0,87,20,2.6,FI
mangrol,21.12,70.12,29.79,76,96,5.86,IN
abonnema,4.71,6.79,24.45,92,100,2.46,NG
leningradskiy,69.38,178.42,8.71,69,100,4.35,RU
haines junction,60.75,-137.51,23.38,20,0,2.02,CA
khao wong,16.7,104.09,25.0,100,75,2.1,TH
lompoc,34.64,-120.46,18.89,72,1,5.7,US
basco,20.45,121.97,29.13,82,88,5.93,PH
shizunai,42.33,142.37,17.36,87,54,2.88,JP
wildwood,38.58,-90.66,31.11,58,1,2.1,US
richards bay,-28.78,32.04,16.46,61,0,3.19,ZA
yellowknife,62.46,-114.35,18.89,68,75,4.1,CA
guerrero negro,27.98,-114.06,22.69,60,0,8.23,MX
cockburn town,21.46,-71.14,28.49,82,62,7.61,TC
corinto,37.94,22.96,26.11,46,0,0.89,GR
sorong,-0.88,131.25,27.49,77,52,3.05,ID
beyla,8.68,-8.63,19.56,97,63,1.72,GN
gushi,34.64,109.58,28.73,53,48,3.81,CN
sao joao da barra,-21.64,-41.05,20.21,76,100,1.54,BR
talnakh,69.49,88.4,16.0,51,6,6.0,RU
mujiayingzi,42.12,118.78,20.8,70,100,0.49,CN
strezhevoy,60.73,77.59,17.0,88,100,2.0,RU
vila velha,-20.33,-40.29,22.0,78,90,4.1,BR
yeppoon,-23.13,150.73,22.0,60,0,2.6,AU
huarmey,-10.07,-78.15,15.78,85,37,3.31,PE
tigil,57.8,158.67,8.96,83,100,2.76,RU
togur,58.36,82.83,20.16,90,7,0.93,RU
basoko,1.24,23.62,22.79,84,0,0.6,CD
buraydah,26.33,43.98,35.0,20,0,8.7,SA
robertsport,6.75,-11.37,25.25,85,100,5.43,LR
ambon,-3.7,128.18,25.0,94,75,2.6,ID
soyo,-6.13,12.37,21.89,88,0,3.19,AO
hailar,49.2,119.7,24.76,45,1,2.67,CN
jasper,37.2,-94.35,29.44,69,1,1.5,US
kununurra,-15.77,128.73,26.0,40,0,6.43,AU
chunhuhub,19.55,-88.68,24.41,91,95,1.52,MX
vera cruz,-12.63,-41.03,19.45,69,3,1.35,BR
sainte-anne-des-monts,49.12,-66.49,13.72,85,0,3.92,CA
nagram,26.62,81.13,29.0,89,75,3.86,IN
champasak,14.75,106.0,25.0,94,90,1.0,LA
hamilton,39.18,-84.53,30.0,51,20,2.6,US
santiago,-33.46,-70.65,13.0,82,75,1.5,CL
ancud,-41.87,-73.82,8.89,93,90,3.6,CL
new waterford,40.85,-80.61,27.78,43,58,0.89,US
ixtapa,20.7,-105.2,30.0,74,75,4.6,MX
hirara,24.8,125.28,30.0,79,75,6.2,JP
minna,9.61,6.56,24.63,88,48,0.52,NG
severobaykalsk,55.65,109.32,18.44,50,11,0.73,RU
hofn,64.25,-15.21,7.55,76,88,2.05,IS
port hedland,-20.32,118.57,22.0,26,73,5.1,AU
olafsvik,64.89,-23.71,11.02,77,0,1.88,IS
maua,-23.67,-46.46,13.0,81,75,3.1,BR
kawalu,-7.38,108.21,22.97,89,97,0.36,ID
reconquista,-29.15,-59.65,7.77,77,0,2.13,AR
port lincoln,-34.73,135.87,14.48,68,14,7.26,AU
sumter,28.71,-82.08,30.0,75,89,1.79,US
miracema do tocantins,-9.56,-48.4,24.81,45,0,0.87,BR
paamiut,61.99,-49.67,6.39,75,100,4.58,GL
taungdwingyi,20.02,95.55,26.28,86,79,4.42,MM
hohhot,40.81,111.65,19.0,72,0,2.0,CN
parana,-31.73,-60.52,10.56,80,0,2.0,AR
omboue,-1.57,9.26,22.1,92,100,2.45,GA
norman wells,65.28,-126.83,12.0,76,90,5.7,CA
stabat,3.76,98.45,24.0,100,40,1.5,ID
deputatskiy,69.3,139.9,7.8,64,100,7.18,RU
saryagash,41.45,69.17,19.0,42,0,4.1,KZ
usevya,-7.1,31.23,17.86,60,12,3.5,TZ
tessalit,20.2,1.01,32.7,11,0,2.7,ML
gat,31.61,34.76,22.78,82,0,0.37,IL
kita,13.03,-9.49,25.29,76,0,2.57,ML
los llanos de aridane,28.66,-17.92,23.0,73,90,8.7,ES
broken hill,-31.95,141.43,9.0,70,0,5.1,AU
beringovskiy,63.05,179.32,11.95,53,100,5.29,RU
oster,50.95,30.88,22.78,68,100,1.0,UA
lulea,65.58,22.15,12.0,66,100,2.6,SE
vestmannaeyjar,63.44,-20.27,10.24,78,13,8.93,IS
chemax,20.65,-87.93,25.81,82,10,1.62,MX
mecca,21.43,39.83,30.65,13,0,2.07,SA
talakan,50.32,130.37,24.26,57,13,2.28,RU
cedar city,37.68,-113.06,29.0,13,1,9.8,US
poum,-20.23,164.02,21.58,67,86,5.59,NC
puerto montt,-41.47,-72.94,8.0,93,90,5.7,CL
vostok,46.49,135.88,22.71,39,0,1.4,RU
pangkalanbuun,-2.68,111.62,26.38,87,65,1.33,ID
matara,5.95,80.54,25.87,86,100,3.81,LK
petropavlovsk-kamchatskiy,53.05,158.65,14.0,67,40,3.0,RU
muros,42.78,-9.06,12.22,82,3,0.45,ES
jiangyou,31.77,104.72,25.18,68,93,0.27,CN
christchurch,-43.53,172.63,9.0,70,2,1.91,NZ
manado,1.49,124.85,28.0,78,20,1.0,ID
avarua,-21.21,-159.78,26.0,78,89,2.6,CK
pisco,-13.7,-76.22,17.0,77,20,2.1,PE
nanchang,28.68,115.88,29.42,77,100,4.02,CN
soure,-0.72,-48.52,26.02,85,7,4.29,BR
comodoro rivadavia,-45.87,-67.5,7.0,81,100,2.1,AR
la ronge,55.1,-105.28,15.0,93,75,2.6,CA
chadan,51.28,91.58,18.47,64,75,0.7,RU
khorixas,-20.37,14.97,15.51,32,0,5.42,NA
puerto madero,14.72,-92.42,27.0,83,40,2.1,MX
valdemarpils,57.37,22.59,14.0,100,69,3.6,LV
kigoma,-4.88,29.63,22.3,70,0,1.23,TZ
katsuura,35.13,140.3,28.33,71,100,0.89,JP
cape coast,5.11,-1.25,24.55,89,100,4.39,GH
ust-kan,50.93,84.76,15.42,68,0,1.9,RU
ternate,0.8,127.4,28.21,74,65,3.66,ID
carutapera,-1.2,-46.02,25.14,85,0,2.67,BR
bulaevo,54.91,70.44,13.63,90,100,4.05,KZ
alekseyevsk,57.84,108.35,27.17,44,61,2.71,RU
teknaf,20.86,92.31,26.91,89,100,3.5,BD
cabo rojo,18.09,-67.15,29.44,77,0,0.89,PR
dubrovnik,42.65,18.09,26.0,47,2,1.0,HR
shar,49.59,81.05,22.39,41,97,7.18,KZ
ugoofaaru,5.67,73.0,28.49,78,100,4.62,MV
mayo,38.89,-76.51,30.0,58,1,2.1,US
ossora,59.24,163.07,10.08,94,100,4.87,RU
leeton,-34.57,146.4,8.33,100,0,3.1,AU
marawi,8.0,124.29,27.78,80,39,1.34,PH
alofi,-19.06,-169.92,24.0,88,90,8.2,NU
ambunti,-4.24,142.84,31.32,60,32,0.39,PG
solana beach,32.99,-117.27,25.0,64,1,4.1,US
hobyo,5.35,48.53,25.38,74,99,10.19,SO
bath,51.38,-2.36,13.89,89,100,3.23,GB
pevek,69.7,170.31,6.55,76,95,8.17,RU
nelson bay,-32.72,152.15,18.33,67,75,7.2,AU
sarkand,45.41,79.92,17.32,63,96,1.98,KZ
lima,-12.04,-77.03,16.0,77,90,3.6,PE
okato,-39.2,173.88,13.33,51,53,1.79,NZ
saint-joseph,-21.37,55.62,16.0,77,42,4.1,RE
antofagasta,-23.65,-70.4,14.0,76,20,1.0,CL
ondangwa,-17.92,15.95,13.0,47,0,2.1,NA
goure,13.98,10.27,31.67,47,14,1.79,NE
wembley,-31.93,115.8,12.78,76,0,8.2,AU
kupang,-10.17,123.58,27.0,65,20,5.1,ID
san cristobal,7.77,-72.22,28.0,54,40,5.7,VE
san javier,37.81,-0.84,24.0,100,20,1.5,ES
lahij,13.17,44.58,30.31,47,96,2.82,YE
airai,-8.93,125.41,18.81,68,1,2.66,TL
gejiu,23.31,103.16,16.6,100,100,1.14,CN
shubarkuduk,49.14,56.49,18.51,45,27,3.1,KZ
jos,9.92,8.9,20.05,86,87,2.58,NG
avera,33.19,-82.53,31.0,55,1,1.5,US
okakarara,-20.58,17.43,6.16,62,0,2.14,NA
aykhal,66.0,111.5,11.0,71,75,4.0,RU
oktyabrskoye,43.06,44.74,17.0,82,0,2.0,RU
berdigestyakh,62.1,126.7,19.84,47,22,5.73,RU
vitim,59.45,112.56,24.84,38,100,2.39,RU
turukhansk,65.82,87.98,21.93,55,100,4.62,RU
ambilobe,-13.2,49.05,18.25,76,100,1.3,MG
severo-yeniseyskiy,60.37,93.04,23.41,51,0,1.92,RU
sibu,2.3,111.82,24.0,94,40,2.1,MY
novikovo,51.15,37.89,17.42,74,71,1.56,RU
lumeje,-11.55,20.78,12.65,56,0,2.39,AO
southbridge,42.08,-72.03,24.44,87,89,0.29,US
yacuiba,-22.04,-63.68,8.74,58,0,1.28,BO
tateyama,34.98,139.87,25.56,65,75,4.6,JP
oussouye,12.48,-16.55,25.0,94,20,1.0,SN
cayenne,4.93,-52.33,26.0,94,20,4.09,GF
merrill,45.18,-89.68,30.0,69,90,4.1,US
lundazi,-12.29,33.18,13.01,86,0,4.42,ZM
iqaluit,63.75,-68.51,7.0,81,75,2.6,CA
dzialdowo,53.24,20.17,13.0,100,100,0.74,PL
barcelos,41.54,-8.62,15.56,87,0,2.1,PT
sukumo,32.93,132.73,21.35,90,100,3.42,JP
noumea,-22.28,166.46,23.0,49,75,3.6,NC
verkhoyansk,67.54,133.38,20.9,35,0,4.96,RU
constitucion,-35.33,-72.42,9.93,79,98,1.81,CL
itaituba,-4.28,-55.98,24.34,89,99,0.34,BR
pouebo,-20.4,164.57,21.84,62,90,6.53,NC
wellington,-41.29,174.78,11.11,76,1,2.6,NZ
dustlik,40.52,68.04,16.2,39,0,1.5,UZ
baraki barak,33.97,68.95,18.32,28,0,1.34,AF
cap malheureux,-19.98,57.61,21.67,74,2,4.47,MU
puri,19.8,85.85,29.0,94,40,1.0,IN
sisimiut,66.94,-53.67,8.89,69,0,5.01,GL
davidson,36.15,-86.78,32.22,66,1,2.6,US
puerto lleras,3.02,-73.4,22.74,97,100,0.99,CO
sompeta,18.93,84.6,29.8,76,100,1.55,IN
starobaltachevo,56.0,55.92,11.63,96,59,2.73,RU
cortez,37.35,-108.59,31.0,15,1,3.6,US
surt,31.21,16.59,22.89,75,0,0.47,LY
takoradi,4.88,-1.76,24.66,88,97,4.33,GH
raudeberg,61.99,5.14,6.67,91,100,6.29,NO
hauterive,46.09,3.45,16.0,77,62,1.0,FR
tura,25.52,90.22,24.02,99,100,2.92,IN
